SeqID	Taxonomy
MT153946|SH1227328.10FU	d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Abrothallales;f__Abrothallaceae;g__Abrothallus;s__Abrothallus_subhalei
JN206177|SH1227742.10FU	d__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor_inaequisporus
KY102517|SH1232203.10FU	d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_vrieseae
AY857528|SH1233462.10FU	d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_lecanii-corni
HQ423449|SH1236832.10FU	d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Johansoniaceae;g__Johansonia;s__Johansonia_chapadensis
DQ103547|SH1238518.10FU	d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_venezuelensis
MT028612|SH1238602.10FU	d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Neofusicoccum;s__Neofusicoccum_magniconidium
AY615185|SH1238654.10FU	d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Neofusicoccum;s__Neofusicoccum_mangiferae
KF777138|SH1238666.10FU	d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Alanphillipsia;s__Alanphillipsia_aloes
FR832474|SH1239419.10FU	d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Scolecobasidium;s__Scolecobasidium_lascauxense
MK810903|SH1239745.10FU	d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Neofusicladium;s__Neofusicladium_eucalypti
DQ223733|SH1241730.10FU	d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Hypoxylaceae;g__Annulohypoxylon;s__Annulohypoxylon_atroroseum
MZ330789|SH1248410.10FU	d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Acarosporales;f__Acarosporaceae;g__Glypholecia;s__Glypholecia_qinghaiensis
JN899394|SH1260248.10FU	d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces;s__Talaromyces_ucrainicus
JN899384|SH1260519.10FU	d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces;s__Talaromyces_rubicundus
UDB015267|SH1264481.10FU	d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Lentariaceae;g__Lentaria;s__Lentaria_sp
AF210664|SH1265906.10FU	d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Sesquicillium;s__Sesquicillium_phyllophilum
UDB0781028|SH1266104.10FU	d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Hypomyces;s__Hypomyces_viridigriseus
